Gene name	dictyBaseID
abcA	DDB0191222
abcB3	DDB0201629
abcC3	DDB0216251
abcC7	DDB0201630
abcC9	DDB0216237
abcD2	DDB0214891
abcG16	DDB0191236
abcG18	DDB0185012
abcH3	DDB0191240
abkD	DDB0216431
abpC	DDB0201554
acaA	DDB0214814
acbd6	DDB0188797
acrA	DDB0191294
act34_ps	DDB0217010
adh5	DDB0204255
adkB	DDB0230097
adprh	DDB0188511
adprt1B	DDB0214837
adprt3	DDB0185173
alg3	DDB0231368
alyL	DDB0186870
amdA	DDB0191089
AP2S1	DDB0188542
argC	DDB0231462
armc8	DDB0201835
arpE	DDB0184033
aslA-1	DDB0229916
aslA-2	DDB0217270
aslD-1	DDB0231691
aslD-2	DDB0217272
atg12	DDB0191412
bopA	DDB0214933
cenB	DDB0220501
cf50-1	DDB0185090
cf50-2	DDB0217351
cinC	DDB0216236
clcD	DDB0218077
cofD-1	DDB0231715
cofD-2	DDB0217441
cofF	DDB0232100
comB	DDB0214836
comF	DDB0214838
comH	DDB0214839
ctrA	DDB0185190
cudA	DDB0191385
CYP508B1	DDB0232408
D7	DDB0191433
dagA	DDB0191434
dcsA	DDB0191159
DDB_G0267478	DDB0189315
DDB_G0267494	DDB0189323
DDB_G0267496	DDB0189324
DDB_G0267526	DDB0189345
DDB_G0267532	DDB0189350
DDB_G0267686	DDB0229847
DDB_G0267726	DDB0189496
DDB_G0267742	DDB0189513
DDB_G0267768	DDB0189530
DDB_G0267800	DDB0189558
DDB_G0267848	DDB0189589
DDB_G0267958	DDB0220692
DDB_G0267984	DDB0189694
DDB_G0268206	DDB0189864
DDB_G0268232	DDB0232946
DDB_G0268242	DDB0189891
DDB_G0268304	DDB0202104
DDB_G0268314	DDB0202115
DDB_G0268332	DDB0202132
DDB_G0268384	DDB0202179
DDB_G0268386	DDB0202183
DDB_G0268424	DDB0202213
DDB_G0268428	DDB0202219
DDB_G0268524	DDB0216555
DDB_G0268570	DDB0216581
DDB_G0268694	DDB0189954
DDB_G0268804	DDB0190051
DDB_G0268808	DDB0190053
DDB_G0268816	DDB0190058
DDB_G0268872	DDB0190095
DDB_G0268876	DDB0229956
DDB_G0268886	DDB0190103
DDB_G0268902	DDB0190113
DDB_G0268914	DDB0190122
DDB_G0268968	DDB0202317
DDB_G0269376	DDB0190217
DDB_G0269380	DDB0190219
DDB_G0269390	DDB0190226
DDB_G0269430	DDB0190258
DDB_G0269452	DDB0190274
DDB_G0269546	DDB0190346
DDB_G0269660	DDB0190443
DDB_G0269678	DDB0190464
DDB_G0269796_ps	DDB0190565
DDB_G0269890	DDB0190649
DDB_G0270016	DDB0190741
DDB_G0270048	DDB0190766
DDB_G0270146	DDB0229971
DDB_G0270190	DDB0230001
DDB_G0270224	DDB0190888
DDB_G0270330	DDB0231733
DDB_G0270342	DDB0190982
DDB_G0270344	DDB0190983
DDB_G0270350	DDB0190988
DDB_G0270426	DDB0191052
DDB_G0270488	DDB0201696
DDB_G0270506	DDB0201713
DDB_G0270570	DDB0201773
DDB_G0270640	DDB0201856
DDB_G0270652	DDB0201869
DDB_G0270662	DDB0201875
DDB_G0270694	DDB0201908
DDB_G0270724	DDB0201942
DDB_G0270726	DDB0201947
DDB_G0270772	DDB0202001
DDB_G0270872	DDB0216657
DDB_G0271084	DDB0216771
DDB_G0271120	DDB0216777
DDB_G0271212	DDB0202779
DDB_G0271248	DDB0202803
DDB_G0271280	DDB0202833
DDB_G0271348	DDB0202883
DDB_G0271354	DDB0216784
DDB_G0271414	DDB0216816
DDB_G0271468	DDB0216843
DDB_G0271482	DDB0216850
DDB_G0271532	DDB0168392
DDB_G0271556	DDB0168420
DDB_G0271598	DDB0216860
DDB_G0271836	DDB0216925
DDB_G0271900	DDB0168568
DDB_G0271904	DDB0230145
DDB_G0271962	DDB0168581
DDB_G0271978	DDB0168589
DDB_G0272016	DDB0168620
DDB_G0272038	DDB0203662
DDB_G0272052	DDB0232387
DDB_G0272058	DDB0216952
DDB_G0272096	DDB0216958
DDB_G0272134	DDB0168726
DDB_G0272184	DDB0168737
DDB_G0272188	DDB0168734
DDB_G0272284	DDB0203730
DDB_G0272316	DDB0231555
DDB_G0272340	DDB0206573
DDB_G0272368	DDB0216970
DDB_G0272370	DDB0216971
DDB_G0272380	DDB0216976
DDB_G0272474	DDB0217024
DDB_G0272540	DDB0217033
DDB_G0272614	DDB0167973
DDB_G0272736	DDB0168245
DDB_G0272801	DDB0167992
DDB_G0272807	DDB0168012
DDB_G0272909	DDB0203782
DDB_G0272921	DDB0203800
DDB_G0272953	DDB0217055
DDB_G0272973	DDB0217065
DDB_G0273005	DDB0217083
DDB_G0273015	DDB0217089
DDB_G0273031	DDB0217097
DDB_G0273091	DDB0232109
DDB_G0273095	DDB0168066
DDB_G0273101	DDB0168059
DDB_G0273105	DDB0168056
DDB_G0273133	DDB0168150
DDB_G0273137	DDB0168158
DDB_G0273139	DDB0232316
DDB_G0273147	DDB0168168
DDB_G0273149	DDB0168169
DDB_G0273189	DDB0168097
DDB_G0273201	DDB0232272
DDB_G0273285	DDB0203037
DDB_G0273331	DDB0217113
DDB_G0273417	DDB0168191
DDB_G0273419	DDB0168194
DDB_G0273451	DDB0203342
DDB_G0273459	DDB0203354
DDB_G0273515	DDB0217171
DDB_G0273539	DDB0217184
DDB_G0273547	DDB0217188
DDB_G0273569_ps	DDB0217200
DDB_G0273573	DDB0217202
DDB_G0273595	DDB0217211
DDB_G0273597	DDB0217212
DDB_G0273611	DDB0217219
DDB_G0273617	DDB0217222
DDB_G0273633	DDB0217230
DDB_G0273669	DDB0217248
DDB_G0273727	DDB0217277
DDB_G0273745	DDB0217286
DDB_G0273795	DDB0217311
DDB_G0273809	DDB0217318
DDB_G0273815	DDB0217321
DDB_G0273831	DDB0217329
DDB_G0273837	DDB0217332
DDB_G0273859	DDB0217343
DDB_G0273949	DDB0217387
DDB_G0273985	DDB0217405
DDB_G0274025	DDB0217425
DDB_G0274043	DDB0217434
DDB_G0274177	DDB0232015
DDB_G0274343	DDB0167884
DDB_G0274481	DDB0167689
DDB_G0274487	DDB0167700
DDB_G0274653	DDB0203204
DDB_G0274665	DDB0203214
DDB_G0274693	DDB0203241
DDB_G0274739	DDB0203296
DDB_G0274867	DDB0217520
DDB_G0274879	DDB0217527
DDB_G0274897	DDB0217536
DDB_G0274949	DDB0217563
DDB_G0274975	DDB0217577
DDB_G0275005	DDB0217593
DDB_G0275015	DDB0167421
DDB_G0275057	DDB0216307
DDB_G0275081	DDB0167437
DDB_G0275117	DDB0167472
DDB_G0275631	DDB0167148
DDB_G0275671	DDB0167257
DDB_G0275731	DDB0232202
DDB_G0275747	DDB0202478
DDB_G0275795	DDB0231765
DDB_G0275813	DDB0217667
DDB_G0275855	DDB0217689
DDB_G0275871	DDB0217699
DDB_G0275937	DDB0217733
DDB_G0276221	DDB0232153
DDB_G0276251	DDB0217768
DDB_G0276285	DDB0169418
DDB_G0276303	DDB0203460
DDB_G0276497	DDB0203849
DDB_G0276509	DDB0203864
DDB_G0276545	DDB0217804
DDB_G0276551	DDB0217807
DDB_G0276813	DDB0168266
DDB_G0276841	DDB0168997
DDB_G0276899	DDB0168319
DDB_G0277069	DDB0217892
DDB_G0277165	DDB0229364
DDB_G0277171	DDB0169085
DDB_G0277219	DDB0169080
DDB_G0277239	DDB0169123
DDB_G0277253	DDB0229923
DDB_G0277355	DDB0217955
DDB_G0277419	DDB0169228
DDB_G0277467	DDB0169265
DDB_G0277475	DDB0169269
DDB_G0277529	DDB0203391
DDB_G0277579	DDB0169295
DDB_G0277601	DDB0169324
DDB_G0277647	DDB0217996
DDB_G0277655	DDB0218000
DDB_G0277661	DDB0218003
DDB_G0277707	DDB0218017
DDB_G0277777	DDB0203449
DDB_G0277937	DDB0204310
DDB_G0277995	DDB0204357
DDB_G0278087_ps	DDB0204412
DDB_G0278099_ps	DDB0204419
DDB_G0278143	DDB0204455
DDB_G0278163	DDB0204471
DDB_G0278177	DDB0204478
DDB_G0278213	DDB0204509
DDB_G0278291	DDB0205351
DDB_G0278303_ps	DDB0205358
DDB_G0278333	DDB0205381
DDB_G0278349	DDB0205391
DDB_G0278359	DDB0205398
DDB_G0278585	DDB0204305
DDB_G0278613	DDB0218061
DDB_G0278621	DDB0218066
DDB_G0278629	DDB0218071
DDB_G0278633	DDB0218074
DDB_G0278657	DDB0218086
DDB_G0278677	DDB0218097
DDB_G0278761	DDB0206175
DDB_G0278771	DDB0206180
DDB_G0278787	DDB0206191
DDB_G0278809	DDB0206211
DDB_G0278827	DDB0206223
DDB_G0278835	DDB0206227
DDB_G0278893	DDB0206266
DDB_G0278915	DDB0206282
DDB_G0278919	DDB0206285
DDB_G0279089	DDB0205028
DDB_G0279105	DDB0205038
DDB_G0279115	DDB0205043
DDB_G0279145	DDB0204691
DDB_G0279163	DDB0231825
DDB_G0279263	DDB0205685
DDB_G0279267	DDB0205687
DDB_G0279291	DDB0205702
DDB_G0279573	DDB0205856
DDB_G0279597	DDB0218173
DDB_G0279653	DDB0205961
DDB_G0279671	DDB0205976
DDB_G0279727	DDB0218180
DDB_G0279759	DDB0206017
DDB_G0279945	DDB0205878
DDB_G0279971	DDB0205903
DDB_G0280221	DDB0206452
DDB_G0280235	DDB0206460
DDB_G0280299	DDB0206498
DDB_G0280333	DDB0206524
DDB_G0280361	DDB0206542
DDB_G0280383	DDB0218228
DDB_G0280477	DDB0205225
DDB_G0280503	DDB0205241
DDB_G0280581	DDB0206054
DDB_G0280583	DDB0206056
DDB_G0280619	DDB0206077
DDB_G0280993	DDB0220498
DDB_G0281059	DDB0203981
DDB_G0281091	DDB0204007
DDB_G0281217	DDB0204088
DDB_G0281349	DDB0204149
DDB_G0281375	DDB0218301
DDB_G0281537	DDB0218315
DDB_G0281541	DDB0218317
DDB_G0281589	DDB0204544
DDB_G0281757	DDB0204652
DDB_G0281767	DDB0204657
DDB_G0281809	DDB0218326
DDB_G0281819	DDB0218332
DDB_G0281843	DDB0204241
DDB_G0281853	DDB0232390
DDB_G0281861	DDB0204253
DDB_G0281925	DDB0204291
DDB_G0281967	DDB0232379
DDB_G0282059	DDB0205125
DDB_G0282121	DDB0205145
DDB_G0282139	DDB0218362
DDB_G0282149	DDB0205154
DDB_G0282263	DDB0232052
DDB_G0282277	DDB0205310
DDB_G0282305	DDB0204168
DDB_G0282327	DDB0204183
DDB_G0282463	DDB0204773
DDB_G0282491	DDB0204793
DDB_G0282495	DDB0204795
DDB_G0282501	DDB0204798
DDB_G0282521	DDB0204811
DDB_G0282555	DDB0204835
DDB_G0282597	DDB0204859
DDB_G0282679	DDB0204913
DDB_G0282783	DDB0218392
DDB_G0282795	DDB0218398
DDB_G0282943	DDB0185275
DDB_G0282945	DDB0185276
DDB_G0282959	DDB0185285
DDB_G0282971	DDB0185293
DDB_G0282991	DDB0185304
DDB_G0283015	DDB0185325
DDB_G0283025	DDB0185331
DDB_G0283199	DDB0185412
DDB_G0283215	DDB0218449
DDB_G0283295	DDB0185439
DDB_G0283347	DDB0185460
DDB_G0283351	DDB0185462
DDB_G0283373	DDB0215668
DDB_G0283585	DDB0215685
DDB_G0283725_ps	DDB0185650
DDB_G0283729	DDB0185653
DDB_G0283759	DDB0220123
DDB_G0283989	DDB0218551
DDB_G0284059	DDB0185809
DDB_G0284177	DDB0185880
DDB_G0284195	DDB0185887
DDB_G0284255	DDB0185928
DDB_G0284269	DDB0185937
DDB_G0284387	DDB0185985
DDB_G0284427	DDB0186009
DDB_G0284481	DDB0186027
DDB_G0284485	DDB0186029
DDB_G0284523	DDB0186055
DDB_G0284625	DDB0186106
DDB_G0284741	DDB0186162
DDB_G0284825	DDB0186216
DDB_G0284877	DDB0186228
DDB_G0284899	DDB0186245
DDB_G0285153	DDB0218675
DDB_G0285261	DDB0186416
DDB_G0285329	DDB0232423
DDB_G0285403	DDB0218709
DDB_G0285407	DDB0218711
DDB_G0285409	DDB0218712
DDB_G0285499	DDB0186533
DDB_G0285515	DDB0186541
DDB_G0285605	DDB0186605
DDB_G0285609	DDB0186607
DDB_G0285675	DDB0186652
DDB_G0285699	DDB0186665
DDB_G0285735	DDB0218716
DDB_G0285747	DDB0218722
DDB_G0285763	DDB0218731
DDB_G0285865	DDB0186717
DDB_G0286079	DDB0186806
DDB_G0286091	DDB0186813
DDB_G0286129	DDB0186817
DDB_G0286133	DDB0186822
DDB_G0286177	DDB0218794
DDB_G0286239	DDB0186877
DDB_G0286279	DDB0186902
DDB_G0286309	DDB0186921
DDB_G0286363	DDB0186928
DDB_G0286373	DDB0186934
DDB_G0286417	DDB0186964
DDB_G0286429	DDB0186972
DDB_G0286431	DDB0186974
DDB_G0286545	DDB0218841
DDB_G0286671	DDB0216432
DDB_G0286733	DDB0220477
DDB_G0286817	DDB0218860
DDB_G0286859	DDB0218863
DDB_G0286931	DDB0187197
DDB_G0286995	DDB0218877
DDB_G0286999	DDB0220602
DDB_G0287055	DDB0187254
DDB_G0287061	DDB0187261
DDB_G0287083	DDB0187274
DDB_G0287085	DDB0187275
DDB_G0287153	DDB0187308
DDB_G0287167	DDB0187318
DDB_G0287275	DDB0187392
DDB_G0287375	DDB0187454
DDB_G0287399	DDB0187468
DDB_G0287621	DDB0187555
DDB_G0287643	DDB0187569
DDB_G0287699	DDB0187577
DDB_G0287723	DDB0187592
DDB_G0287735	DDB0230204
DDB_G0287825	DDB0187661
DDB_G0287837	DDB0187668
DDB_G0287873	DDB0219267
DDB_G0287927	DDB0187694
DDB_G0287931	DDB0187696
DDB_G0288007	DDB0187732
DDB_G0288031	DDB0232248
DDB_G0288121	DDB0219308
DDB_G0288219	DDB0187838
DDB_G0288283	DDB0187872
DDB_G0288413	DDB0187931
DDB_G0288459	DDB0219340
DDB_G0288519	DDB0231477
DDB_G0288521	DDB0231476
DDB_G0288551	DDB0187989
DDB_G0288595	DDB0188013
DDB_G0288619	DDB0188021
DDB_G0288695	DDB0188058
DDB_G0288801	DDB0188116
DDB_G0288931	DDB0188179
DDB_G0288943	DDB0188188
DDB_G0288947	DDB0188190
DDB_G0288963	DDB0219394
DDB_G0288987	DDB0188200
DDB_G0289049	DDB0219402
DDB_G0289231	DDB0188325
DDB_G0289285	DDB0188346
DDB_G0289355	DDB0188379
DDB_G0289363	DDB0188388
DDB_G0289385	DDB0219431
DDB_G0289517	DDB0231081
DDB_G0289529	DDB0219440
DDB_G0289627	DDB0188498
DDB_G0289629	DDB0188499
DDB_G0289861	DDB0232210
DDB_G0289863	DDB0219491
DDB_G0289903	DDB0188627
DDB_G0290061	DDB0219515
DDB_G0290197	DDB0188774
DDB_G0290215	DDB0188783
DDB_G0290321	DDB0188837
DDB_G0290385	DDB0188862
DDB_G0290419	DDB0188881
DDB_G0290471	DDB0229850
DDB_G0290527	DDB0188933
DDB_G0290575	DDB0188965
DDB_G0290601	DDB0188984
DDB_G0290617	DDB0188999
DDB_G0290685	DDB0229807
DDB_G0290685	DDB0219570
DDB_G0290697	DDB0219593
DDB_G0290835	DDB0219611
DDB_G0290947	DDB0219621
DDB_G0290959	DDB0191519
DDB_G0291103	DDB0189243
DDB_G0291418	DDB0183879
DDB_G0291466	DDB0183911
DDB_G0291568	DDB0183987
DDB_G0291632	DDB0215450
DDB_G0291682	DDB0219679
DDB_G0291716	DDB0184027
DDB_G0291722	DDB0184030
DDB_G0291798	DDB0184069
DDB_G0291812	DDB0184080
DDB_G0291926	DDB0231298
DDB_G0292028	DDB0184172
DDB_G0292032	DDB0184174
DDB_G0292050	DDB0184188
DDB_G0292058	DDB0232106
DDB_G0292094	DDB0184218
DDB_G0292098	DDB0184222
DDB_G0292132	DDB0184246
DDB_G0292148	DDB0184259
DDB_G0292190	DDB0219722
DDB_G0292260	DDB0219729
DDB_G0292302	DDB0184314
DDB_G0292462	DDB0184413
DDB_G0292652	DDB0184503
DDB_G0292756	DDB0184546
DDB_G0292920	DDB0191697
DDB_G0292926	DDB0191700
DDB_G0292932	DDB0191703
DDB_G0292988	DDB0232284
DDB_G0293078	DDB0191764
DDB_G0293084	DDB0191767
DDB_G0293200	DDB0191815
DDB_G0293300	DDB0191863
DDB_G0293302	DDB0191864
DDB_G0293390	DDB0191913
DDB_G0293406	DDB0191923
DDB_G0293544	DDB0191988
DDB_G0293550	DDB0191999
DDB_G0293578	DDB0192018
DDB_G0293590	DDB0220630
DDB_G0293612	DDB0192045
DDB_G0293730	DDB0219887
DDB_G0293762	DDB0231767
DDB_G0293856	DDB0192161
DDB_G0293934	DDB0231107
DDB_G0293948	DDB0192218
DDB_G0293982	DDB0219914
DDB_G0294555	DDB0231957
DDB_G0294557	DDB0232236
DDB_G0294629	DDB0219748
ddi1	DDB0187816
DG1003	DDB0220111
DG1022	DDB0219951
DG1037	DDB0191301
DG1039	DDB0191462
DG1040	DDB0220028
DG1041	DDB0191328
DG1060	DDB0232939
DG1074	DDB0220129
DG1080	DDB0214904
DG1098	DDB0220119
DG1105	DDB0220018
DG1106	DDB0185081
DG1110	DDB0191339
DG1112	DDB0185082
DG1113	DDB0220019
DG1122	DDB0220029
DG1124	DDB0185095
DG2033	DDB0220033
dhkA	DDB0215354
dhkB	DDB0215358
dhkJ	DDB0215385
dhkL	DDB0191389
dhkM	DDB0220020
dhx35	DDB0190161
docA	DDB0201649
dpoA	DDB0185041
drnB	DDB0231869
dscA-1	DDB0215400
dscA-2	DDB0217373
eIF2b1	DDB0231375
fbxA	DDB0185042
fhkB	DDB0206066
fia	DDB0220465
fimD	DDB0232222
flpA	DDB0220135
fnkE	DDB0229870
forF	DDB0231185
fscD	DDB0232058
gacR	DDB0206172
gacT	DDB0191387
gacV	DDB0191981
galE	DDB0231575
gbpC	DDB0191359
gbqA	DDB0215001
gdt6	DDB0220634
gdt9	DDB0232936
ggtA	DDB0220030
gloB1	DDB0230988
glpD	DDB0191397
glpV	DDB0215010
gnl1	DDB0186477
GP138_ps2	DDB0188822
grlO	DDB0230121
grp94	DDB0215015
gtaG	DDB0220467
gtpbp1	DDB0219754
gxcA	DDB0231342
gxcJJ	DDB0167265
gxcN	DDB0217864
gxcZ	DDB0192204
helC	DDB0215338
iplA	DDB0201571
irlB-1	DDB0220009
irlB-2	DDB0217342
jcdF	DDB0189125
jcdI	DDB0190735
kcnma1	DDB0190653
ku80	DDB0232002
lipA	DDB0214940
lkhA	DDB0191291
lmpB	DDB0191189
lvsA	DDB0191124
lvsG	DDB0231499
malA	DDB0191268
manF	DDB0231616
manG	DDB0231611
med23	DDB0191058
mekA	DDB0191164
mhkC	DDB0216199
migA	DDB0191409
mkcA	DDB0191179
mkcB	DDB0191334
mkpA	DDB0191336
modA	DDB0191113
morg1	DDB0188535
msh3	DDB0232960
msh5	DDB0231220
mybP	DDB0201766
myoI	DDB0185049
myoJ	DDB0185050
nek2	DDB0216282
orfR1062	DDB0216269
pakG	DDB0229411
pgtB	DDB0231870
pgtD	DDB0219989
phdA	DDB0191446
piaA	DDB0185055
pigT	DDB0183928
pikG	DDB0204875
pirA	DDB0216270
pkaR	DDB0214950
pks26	DDB0219339
pks3	DDB0216727
