dictyBase ID	CRC64	Length	Database	Domain ID	Domain Name	Start	End	Score	Status	Date	InterPro ID	InterPro Name
DDB0167147	5D1F0B92FE6D17C7	57	SignalP	SignalP-NN(euk)	signal-peptide	0	25		?	18-MAY-13		
DDB0167943	AAB768E84D45B773	184	PFAM	PF11912	DUF3430	0	172	  4.9E-27	T	18-MAY-13	IPR021837	Protein of unknown function DUF3430
DDB0168902	34ADB42B1C9C4EE4	207	GENE3D	G3DSA:3.30.420.40	G3DSA:3.30.420.40	125	199	  1.5E-11	T	18-MAY-13		
DDB0168902	34ADB42B1C9C4EE4	207	PANTHER	PTHR14934	FAMILY NOT NAMED	0	206	  1.7E-89	T	18-MAY-13		
DDB0168902	34ADB42B1C9C4EE4	207	PANTHER	PTHR14934:SF0	SUBFAMILY NOT NAMED	0	206	  1.7E-89	T	18-MAY-13		
DDB0168902	34ADB42B1C9C4EE4	207	SSF	SSF53067	Actin-like ATPase domain	3	198	  4.7E-17	T	18-MAY-13		
DDB0168902	34ADB42B1C9C4EE4	207	TMHMM	tmhmm	transmembrane_regions	4	23		?	18-MAY-13		
DDB0168915	D28A5F7937A68791	194	TMHMM	tmhmm	transmembrane_regions	117	138		?	18-MAY-13		
DDB0169248	32A24FDA4CF4A4E1	69	SignalP	SignalP-NN(euk)	signal-peptide	0	15		?	18-MAY-13		
DDB0169263	BAF973B0621D14E5	70	SignalP	SignalP-NN(euk)	signal-peptide	0	21		?	18-MAY-13		
DDB0169265	D95DE5EFF03A2C58	315	TMHMM	tmhmm	transmembrane_regions	158	179		?	18-MAY-13		
DDB0169265	D95DE5EFF03A2C58	315	TMHMM	tmhmm	transmembrane_regions	284	305		?	18-MAY-13		
DDB0184107	D79C83DA61B22B0D	774	PANTHER	PTHR19446	REVERSE TRANSCRIPTASES	0	757		T	18-MAY-13	IPR015706	RNA-directed DNA polymerase (reverse transcriptase)
DDB0184107	D79C83DA61B22B0D	774	SSF	SSF56672	DNA/RNA polymerases	245	604	  2.0E-19	T	18-MAY-13		
DDB0184107	D79C83DA61B22B0D	774	PANTHER	PTHR19446:SF185	PREDICTED: SIMILAR TO REVERSE TRANSCRIPTASE-LIKE, PARTIAL	0	757		T	18-MAY-13		
DDB0184107	D79C83DA61B22B0D	774	PROFILE	PS50878	RT_POL	329	598	  1.5E+01	T	18-MAY-13	IPR000477	Reverse transcriptase
DDB0184107	D79C83DA61B22B0D	774	PFAM	PF00078	RVT_1	348	596	  7.1E-38	T	18-MAY-13	IPR000477	Reverse transcriptase
DDB0184110	B9D3AD0F3BA0D44F	228	PANTHER	PTHR25952	FAMILY NOT NAMED	0	227	   .0E+00	T	18-MAY-13		
DDB0184110	B9D3AD0F3BA0D44F	228	PANTHER	PTHR25952:SF35	SUBFAMILY NOT NAMED	0	227	   .0E+00	T	18-MAY-13		
DDB0184113	AC61908AB43931ED	1060	PANTHER	PTHR19446	REVERSE TRANSCRIPTASES	0	1050		T	18-MAY-13	IPR015706	RNA-directed DNA polymerase (reverse transcriptase)
DDB0184113	AC61908AB43931ED	1060	SSF	SSF56672	DNA/RNA polymerases	245	604	  3.8E-19	T	18-MAY-13		
DDB0184113	AC61908AB43931ED	1060	PROFILE	PS50878	RT_POL	329	598	  1.5E+01	T	18-MAY-13	IPR000477	Reverse transcriptase
DDB0184113	AC61908AB43931ED	1060	PANTHER	PTHR19446:SF186	PREDICTED: SIMILAR TO ORF2-ENCODED PROTEIN	0	1050		T	18-MAY-13		
DDB0184113	AC61908AB43931ED	1060	PFAM	PF00078	RVT_1	348	596	  2.4E-37	T	18-MAY-13	IPR000477	Reverse transcriptase
DDB0184195	7E54EEBE8FDE0F1C	283	PANTHER	PTHR19446	REVERSE TRANSCRIPTASES	0	265	   .0E+00	T	18-MAY-13	IPR015706	RNA-directed DNA polymerase (reverse transcriptase)
DDB0184195	7E54EEBE8FDE0F1C	283	PROFILE	PS50878	RT_POL	65	282	  8.9E+00	T	18-MAY-13	IPR000477	Reverse transcriptase
DDB0184195	7E54EEBE8FDE0F1C	283	SSF	SSF56672	DNA/RNA polymerases	26	243	  3.2E-15	T	18-MAY-13		
DDB0184195	7E54EEBE8FDE0F1C	283	PFAM	PF00078	RVT_1	84	247	  8.6E-31	T	18-MAY-13	IPR000477	Reverse transcriptase
DDB0184195	7E54EEBE8FDE0F1C	283	PANTHER	PTHR19446:SF162	PUTATIVE UNCHARACTERIZED PROTEIN	0	265	   .0E+00	T	18-MAY-13		
DDB0184197	8E6CF227F2215432	454	PANTHER	PTHR25952	FAMILY NOT NAMED	0	453	   .0E+00	T	18-MAY-13		
DDB0184197	8E6CF227F2215432	454	PANTHER	PTHR25952:SF38	SUBFAMILY NOT NAMED	0	453	   .0E+00	T	18-MAY-13		
DDB0184351	DFB6C6DCD1EC69C8	1032	PANTHER	PTHR19446	REVERSE TRANSCRIPTASES	0	1022		T	18-MAY-13	IPR015706	RNA-directed DNA polymerase (reverse transcriptase)
DDB0184351	DFB6C6DCD1EC69C8	1032	PFAM	PF00078	RVT_1	320	568	  3.0E-37	T	18-MAY-13	IPR000477	Reverse transcriptase
DDB0184351	DFB6C6DCD1EC69C8	1032	SSF	SSF56672	DNA/RNA polymerases	217	576	  9.5E-20	T	18-MAY-13		
DDB0184351	DFB6C6DCD1EC69C8	1032	PROFILE	PS50878	RT_POL	301	570	  1.5E+01	T	18-MAY-13	IPR000477	Reverse transcriptase
DDB0184351	DFB6C6DCD1EC69C8	1032	PANTHER	PTHR19446:SF191	OS12G0257400 PROTEIN	0	1022		T	18-MAY-13		
DDB0184390	02D16CC5E860361B	257	PFAM	PF03184	DDE_1	17	118	  1.4E-05	T	18-MAY-13	IPR004875	DDE superfamily endonuclease, CENP-B-like
DDB0184390	02D16CC5E860361B	257	PROFILE	PS51257	PROKAR_LIPOPROTEIN	0	26	  5.0E+00	T	18-MAY-13		
DDB0184448	21C9A216C1B03C50	174	PANTHER	PTHR13046	PROTEASE U48 CAAX PRENYL PROTEASE RCE1	0	173	  1.4E-64	T	18-MAY-13		
DDB0184448	21C9A216C1B03C50	174	TMHMM	tmhmm	transmembrane_regions	137	158		?	18-MAY-13		
DDB0184448	21C9A216C1B03C50	174	PFAM	PF02517	Abi	22	122	  5.8E-16	T	18-MAY-13	IPR003675	CAAX amino terminal protease
DDB0184448	21C9A216C1B03C50	174	TMHMM	tmhmm	transmembrane_regions	54	73		?	18-MAY-13		
DDB0184448	21C9A216C1B03C50	174	TMHMM	tmhmm	transmembrane_regions	109	128		?	18-MAY-13		
DDB0184448	21C9A216C1B03C50	174	TMHMM	tmhmm	transmembrane_regions	81	104		?	18-MAY-13		
DDB0184448	21C9A216C1B03C50	174	PANTHER	PTHR13046:SF0	SUBFAMILY NOT NAMED	0	173	  1.4E-64	T	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	GENE3D	G3DSA:3.40.50.300	G3DSA:3.40.50.300	817	1038	  1.2E-43	T	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	PANTHER	PTHR19241	ATP-BINDING CASSETTE TRANSPORTER	264	1476		T	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	PANTHER	PTHR19241:SF11	SUBFAMILY NOT NAMED	264	1476		T	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	PFAM	PF00005	ABC_tran	111	239	  9.4E-13	T	18-MAY-13	IPR003439	ABC transporter-like
DDB0185012	D729985CE02821A7	1477	SMART	SM00382	ATPases associated with a variety of cellula	96	399	  5.2E-09	T	18-MAY-13	IPR003593	AAA+ ATPase domain
DDB0185012	D729985CE02821A7	1477	PROSITE	PS00211	ABC_TRANSPORTER_1	210	225		T	18-MAY-13	IPR017871	ABC transporter, conserved site
DDB0185012	D729985CE02821A7	1477	PROFILE	PS50893	ABC_TRANSPORTER_2	813	1053	  1.9E+01	T	18-MAY-13	IPR003439	ABC transporter-like
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	525	546		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	589	610		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	GENE3D	G3DSA:3.40.50.300	G3DSA:3.40.50.300	68	300	  7.2E-42	T	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	SSF	SSF52540	P-loop containing nucleoside triphosphate hydrolases	64	316	  1.6E-41	T	18-MAY-13	IPR027417	P-loop containing nucleoside triphosphate hydrolase
DDB0185012	D729985CE02821A7	1477	SSF	SSF52540	P-loop containing nucleoside triphosphate hydrolases	792	1040	  6.5E-43	T	18-MAY-13	IPR027417	P-loop containing nucleoside triphosphate hydrolase
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	1447	1468		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	1349	1370		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	1318	1341		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	1277	1300		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	1238	1257		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	697	718		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	619	638		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	559	580		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	TMHMM	tmhmm	transmembrane_regions	484	505		?	18-MAY-13		
DDB0185012	D729985CE02821A7	1477	PROFILE	PS50893	ABC_TRANSPORTER_2	68	312	  1.7E+01	T	18-MAY-13	IPR003439	ABC transporter-like
DDB0185012	D729985CE02821A7	1477	SMART	SM00382	ATPases associated with a variety of cellula	839	1030	  9.7E-15	T	18-MAY-13	IPR003593	AAA+ ATPase domain
DDB0185012	D729985CE02821A7	1477	PFAM	PF01061	ABC2_membrane	1186	1399	  1.8E-38	T	18-MAY-13	IPR013525	ABC-2 type transporter
DDB0185012	D729985CE02821A7	1477	PFAM	PF01061	ABC2_membrane	430	640	  1.4E-46	T	18-MAY-13	IPR013525	ABC-2 type transporter
DDB0185012	D729985CE02821A7	1477	PFAM	PF00005	ABC_tran	854	981	  2.0E-09	T	18-MAY-13	IPR003439	ABC transporter-like
DDB0185015	3610737F3B525123	377	PRINTS	PR00190	ACTIN	26	36	  6.9E-58	T	18-MAY-13	IPR004000	Actin-related protein
DDB0185015	3610737F3B525123	377	SSF	SSF53067	Actin-like ATPase domain	147	376	 1.4E-105	T	18-MAY-13		
DDB0185015	3610737F3B525123	377	PROSITE	PS01132	ACTINS_ACT_LIKE	104	117		T	18-MAY-13	IPR020902	Actin/actin-like conserved site
DDB0185015	3610737F3B525123	377	PROSITE	PS00432	ACTINS_2	356	365		T	18-MAY-13	IPR004001	Actin, conserved site
DDB0185015	3610737F3B525123	377	PROSITE	PS00406	ACTINS_1	53	64		T	18-MAY-13	IPR004001	Actin, conserved site
DDB0185015	3610737F3B525123	377	SMART	SM00268	Actin	5	376	   .0E+00	T	18-MAY-13	IPR004000	Actin-related protein
DDB0185015	3610737F3B525123	377	PFAM	PF00022	Actin	3	376	   .0E+00	T	18-MAY-13	IPR004000	Actin-related protein
DDB0185015	3610737F3B525123	377	PANTHER	PTHR11937:SF93	SUBFAMILY NOT NAMED	0	376		T	18-MAY-13		
DDB0185015	3610737F3B525123	377	PANTHER	PTHR11937	ACTIN	0	376		T	18-MAY-13	IPR004000	Actin-related protein
DDB0185015	3610737F3B525123	377	GENE3D	G3DSA:3.90.640.10	G3DSA:3.90.640.10	187	257	  1.7E-40	T	18-MAY-13		
DDB0185015	3610737F3B525123	377	SSF	SSF53067	Actin-like ATPase domain	3	154	  4.7E-67	T	18-MAY-13		
DDB0185015	3610737F3B525123	377	PRINTS	PR00190	ACTIN	115	129	  6.9E-58	T	18-MAY-13	IPR004000	Actin-related protein
