Gene ID	Gene Name	Transcripts
DDB_G0267522	DDB_G0267522	DDB0346687, DDB0346688
DDB_G0275533	DDB_G0275533	DDB0308151, DDB0308152
DDB_G0295715	DDB_G0295715	DDB0252885, DDB0252886
DDB_G0269114	numA	DDB0231257, DDB0191501, DDB0302664
DDB_G0279557	DDB_G0279557	DDB0305068, DDB0305069
DDB_G0279733	gxcDD	DDB0348652, DDB0348653
DDB_G0278645	DDB_G0278645	DDB0238313, DDB0238314
DDB_G0277511	hpd	DDB0231604, DDB0231603
DDB_G0268592	dlpA	DDB0229901, DDB0304671, DDB0233887
DDB_G0272560	capA-1	DDB0185022, DDB0229383
DDB_G0280495	fumH	DDB0231397, DDB0231400
DDB_G0284327	tmem184F	DDB0233634, DDB0233635
DDB_G0289705	DDB_G0289705	DDB0309126, DDB0309134
DDB_G0293770	DDB_G0293770	DDB0237690, DDB0237691
DDB_G0269160	nxnA	DDB0191502, DDB0232009
DDB_G0267446	cnbA	DDB0191204, DDB0231422
DDB_G0271544	acat	DDB0231621, DDB0349796
DDB_G0277273	phg1B	DDB0185226, DDB0231530
DDB_G0284611	ripA	DDB0201626, DDB0304430
DDB_G0269616	aplG	DDB0237972, DDB0237973
DDB_G0277987	gxcA	DDB0231342, DDB0347187
DDB_G0289521	srsA	DDB0237692, DDB0237693
DDB_G0274023	capA-2	DDB0266498, DDB0266499
DDB_G0349057	DDB_G0349057	DDB0349055, DDB0349059
DDB_G0277501	capB	DDB0185023, DDB0233889
DDB_G0274859	prdx4	DDB0305016, DDB0231647
DDB_G0279443	aqpB	DDB0305846, DDB0349857
DDB_G0281587	yipf1	DDB0238114, DDB0238121
DDB_G0287021	vps20	DDB0351208, DDB0351209
DDB_G0292188	DDB_G0292188	DDB0234030, DDB0234031
DDB_G0268044	DDB_G0268044	DDB0349291, DDB0349293
DDB_G0268708	DDB_G0268708	DDB0349163, DDB0349164
DDB_G0279353	DDB_G0279353	DDB0302646, DDB0302647
DDB_G0283083	cbpD2	DDB0191416, DDB0229396
DDB_G0293378	DDB_G0293378	DDB0348900, DDB0348901
