DICTYBASE ID	GENE NAME	RELIABILITY	SCORE
DDB0191101	arfA	TWILIGHT ZONE	-1.126
DDB0229431	arl5	TWILIGHT ZONE	-1.184
DDB0229369	arrA	TWILIGHT ZONE	-1.759
DDB0230047	arrL	RELIABLE	1.7
DDB0218432	BC4V2_0_00053	RELIABLE	2.361
DDB0215753	BC4V2_0_00730	RELIABLE	3.362
DDB0186352	BC4V2_0_01103	RELIABLE	3.963
DDB0186376	BC4V2_0_01129	TWILIGHT ZONE	-1.576
DDB0186571	BC4V2_0_01327	TWILIGHT ZONE	-0.517
DDB0218775	BC4V2_0_01538	RELIABLE	1.721
DDB0186940	BC4V2_0_01727	RELIABLE	0.981
DDB0187197	BC4V2_0_02004	TWILIGHT ZONE	-0.954
DDB0187203	BC4V2_0_02012	TWILIGHT ZONE	-0.425
DDB0187301	BC4V2_0_02111	TWILIGHT ZONE	-1.742
DDB0187644	BC5V2_0_00307	RELIABLE	1.698
DDB0187733	BC5V2_0_00399	TWILIGHT ZONE	-1.347
DDB0187780	BC5V2_0_00446	RELIABLE	1.742
DDB0187922	BC5V2_0_00586	RELIABLE	0.831
DDB0187923	BC5V2_0_00587	RELIABLE	2.473
DDB0219346	BC5V2_0_00623	RELIABLE	0.973
DDB0187977	BC5V2_0_00651	RELIABLE	3.379
DDB0188232	BC5V2_0_00908	TWILIGHT ZONE	-0.766
DDB0219460	BC5V2_0_01167	RELIABLE	5.168
DDB0188475	BC5V2_0_01177	RELIABLE	0.596
DDB0216142	BC5V2_0_01349	RELIABLE	1.93
DDB0188865	BC5V2_0_01574	RELIABLE	5.561
DDB0219558	BC5V2_0_01593	RELIABLE	1.855
DDB0189191	BC5V2_0_01872	TWILIGHT ZONE	-1.233
DDB0183955	BEC6V2_0_00193	RELIABLE	2.388
DDB0184364	BEC6V2_0_00595	RELIABLE	0.876
DDB0219747	BEC6V2_0_00610	TWILIGHT ZONE	-1.215
DDB0191751	BEC6V2_0_00984	RELIABLE	0.903
DDB0191849	BEC6V2_0_01079	RELIABLE	2.282
DDB0231009	cbpJ	RELIABLE	1.992
DDB0231012	cbpL	RELIABLE	3.449
DDB0231014	cbpM	RELIABLE	3.391
DDB0233304	clcC	TWILIGHT ZONE	-1.7
DDB0191204	cnbA	RELIABLE	0.378
DDB0184530	colA	TWILIGHT ZONE	-1.329
DDB0233873	gacA	RELIABLE	4.447
DDB0231998	gefV	TWILIGHT ZONE	-1.966
DDB0216307	geneDDB0216307	RELIABLE	2.079
DDB0216373	geneDDB0216373	TWILIGHT ZONE	-1.382
DDB0220010	geneDDB0220010	RELIABLE	4.11
DDB0229350	geneDDB0229350	TWILIGHT ZONE	-0.761
DDB0229351	geneDDB0229351	TWILIGHT ZONE	-0.613
DDB0230126	geneDDB0230126	RELIABLE	1.796
DDB0231412	geneDDB0231412	RELIABLE	3.601
DDB0231625	geneDDB0231625	RELIABLE	4.725
DDB0232945	geneDDB0232945	RELIABLE	0.202
DDB0233320	geneDDB0233320	TWILIGHT ZONE	-0.084
DDB0233551	geneDDB0233551	RELIABLE	4.218
DDB0191255	gpaA	RELIABLE	1.615
DDB0191327	gpaB	TWILIGHT ZONE	-0.805
DDB0219991	gpaH	RELIABLE	1.672
DDB0230128	gpaI	RELIABLE	0.805
DDB0230130	gpaK	RELIABLE	2.251
DDB0233475	gxcE	RELIABLE	3.302
DDB0233467	gxcFF	RELIABLE	0.69
DDB0215335	hatA	RELIABLE	1.557
